player2,round,player1,gender,file,tournament,date
Barbora Krejcikova,QF,Aryna Sabalenka,W,20210907-W-US_Open-QF-Aryna_Sabalenka-Barbora_Krejcikova.html,US Open,2021-09-07
Leylah Fernandez,SF,Aryna Sabalenka,W,20210909-W-US_Open-SF-Aryna_Sabalenka-Leylah_Fernandez.html,US Open,2021-09-09
Ajla Tomljanovic,R16,Aryna Sabalenka,W,20211020-W-Moscow-R16-Aryna_Sabalenka-Ajla_Tomljanovic.html,Moscow,2021-10-20
Ekaterina Alexandrova,QF,Aryna Sabalenka,W,20211022-W-Moscow-QF-Aryna_Sabalenka-Ekaterina_Alexandrova.html,Moscow,2021-10-22
Paula Badosa,RR,Aryna Sabalenka,W,20211111-W-Guadalajara_Finals-RR-Aryna_Sabalenka-Paula_Badosa.html,Guadalajara Finals,2021-11-11
Aryna Sabalenka,RR,Iga Swiatek,W,20211113-W-Guadalajara_Finals-RR-Iga_Swiatek-Aryna_Sabalenka.html,Guadalajara Finals,2021-11-13
Maria Sakkari,RR,Aryna Sabalenka,W,20211115-W-Guadalajara_Finals-RR-Aryna_Sabalenka-Maria_Sakkari.html,Guadalajara Finals,2021-11-15
Aryna Sabalenka,R16,Kaja Juvan,W,20220105-W-Adelaide-R16-Kaja_Juvan-Aryna_Sabalenka.html,Adelaide,2022-01-05
Rebecca Peterson,R32,Aryna Sabalenka,W,20220111-W-Adelaide-R32-Aryna_Sabalenka-Rebecca_Peterson.html,Adelaide,2022-01-11
Storm Hunter,R128,Aryna Sabalenka,W,20220118-W-Australian_Open-R128-Aryna_Sabalenka-Storm_Hunter.html,Australian Open,2022-01-18
Xin Yu Wang,R64,Aryna Sabalenka,W,20220120-W-Australian_Open-R64-Aryna_Sabalenka-Xin_Yu_Wang.html,Australian Open,2022-01-20
Marketa Vondrousova,R32,Aryna Sabalenka,W,20220121-W-Australian_Open-R32-Aryna_Sabalenka-Marketa_Vondrousova.html,Australian Open,2022-01-21
Kaia Kanepi,R16,Aryna Sabalenka,W,20220124-W-Australian_Open-R16-Aryna_Sabalenka-Kaia_Kanepi.html,Australian Open,2022-01-24
Aryna Sabalenka,R32,Marta Kostyuk,W,20220215-W-Dubai-R32-Marta_Kostyuk-Aryna_Sabalenka.html,Dubai,2022-02-15
Petra Kvitova,R16,Aryna Sabalenka,W,20220216-W-Dubai-R16-Aryna_Sabalenka-Petra_Kvitova.html,Dubai,2022-02-16
Aryna Sabalenka,R32,Alize Cornet,W,20220222-W-Doha-R32-Alize_Cornet-Aryna_Sabalenka.html,Doha,2022-02-22
Aryna Sabalenka,R16,Jil Teichmann,W,20220223-W-Doha-R16-Jil_Teichmann-Aryna_Sabalenka.html,Doha,2022-02-23
Iga Swiatek,QF,Aryna Sabalenka,W,20220224-W-Doha-QF-Aryna_Sabalenka-Iga_Swiatek.html,Doha,2022-02-24
Jasmine Paolini,R64,Aryna Sabalenka,W,20220312-W-Indian_Wells-R64-Aryna_Sabalenka-Jasmine_Paolini.html,Indian Wells,2022-03-12
